name,mmsi,imoNumber,callSign,cargo,vesselType,COG,heading,navStatus,SOG,timeOfFix,length,beam,latitude,longitude,datePulled
Islander Expresss,366943970,8967876,WCJ6211,0-AllShips,4-HSC,-1,323.2,0-Underway(Engine),0,1738655135,24,8,33.459948,-117.691663,2025-02-04T07:45:46Z
Levitty,367312440,0,,0-AllShips,37-Pleasure,0,0,15-NotDefined,0,1738654362,16,4,33.722473,-118.073,2025-02-04T07:45:46Z
Jake_shearer,367740790,9792773,WDI8655,0-AllShips,8-Tanker,285.7,283,0-Underway(Engine),8.3,1738655138,153,23,34.116873,-119.429232,2025-02-04T07:45:46Z
Dasananas,368120660,0,WDP2064,0-AllShips,36-Sailing,-1,44.9,15-NotDefined,0,1738654857,15,4,33.766523,-118.251583,2025-02-04T07:45:46Z
Jupiter,338351332,0,,0-AllShips,36-Sailing,-1,-1,15-NotDefined,0,1738655024,17,6,33.978477,-118.44965,2025-02-04T07:45:46Z
Blue Norther,338397741,0,,0-AllShips,36-Sailing,223,265,15-NotDefined,0.1,1738655143,13,4,33.978227,-118.45292,2025-02-04T07:45:46Z
Ramble On,338514261,0,,0-AllShips,37-Pleasure,-1,338.5,15-NotDefined,0,1738654831,15,4,34.242942,-119.262288,2025-02-04T07:45:46Z
Sundance,367314820,0,WDD9682,0-AllShips,37-Pleasure,337,95.3,15-NotDefined,0,1738655053,18,5,33.717783,-118.279097,2025-02-04T07:45:46Z
Journey,368238060,0,WDM7871,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0.2,1738654822,17,4,33.606367,-117.884695,2025-02-04T07:45:46Z
Cs Trust,566049000,9438511,9V9353,0-AllShips,7-Cargo,223,344,5-Moored,0.1,1738655052,163,26,33.723983,-118.275717,2025-02-04T07:45:46Z
Bounty,338035036,0,,0-AllShips,37-Pleasure,316.4,336.2,15-NotDefined,0.1,1738655058,10,4,33.757222,-118.186805,2025-02-04T07:45:46Z
Sv Dawn,338163002,0,DAWN,0-AllShips,36-Sailing,-1,77.2,15-NotDefined,0.1,1738654999,8,3,34.405228,-119.693805,2025-02-04T07:45:46Z
Adventure,338238542,0,,0-AllShips,37-Pleasure,229.9,283.1,15-NotDefined,0,1738654658,16,6,33.613168,-117.924465,2025-02-04T07:45:46Z
Cielo,338468255,0,,0-AllShips,37-Pleasure,150.2,0,15-NotDefined,0,1738655122,13,4,34.186395,-119.22319,2025-02-04T07:45:46Z
